Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C]
2025-06-05 22:43:00,947006,52.0,0,100,35
2025-06-05 22:59:00,947002,71.0,0,100,35
2025-06-05 23:15:00,946993,210.0,0,100,35
2025-06-05 23:31:00,947006,345.0,0,100,35
2025-06-05 23:47:00,947020,480.0,0,100,35
2025-06-06 00:03:00,947010,615.0,0,100,35
2025-06-06 00:19:00,947008,750.0,0,100,35
2025-06-06 00:35:00,947008,1670.0,0,100,35
2025-06-06 00:51:00,947005,2590.0,0,100,35
2025-06-06 01:07:00,947001,3510.0,0,100,35
2025-06-06 01:23:00,947005,2.1,0,0,25
2025-06-06 01:39:00,947006,2.1,0,0,25
2025-06-06 01:55:00,947003,2.1,0,0,25
2025-06-06 02:11:00,947010,2.1,0,0,25
2025-06-06 02:27:00,946998,2.1,0,0,25
2025-06-06 02:43:00,947003,6.0,0,0,25
2025-06-06 02:59:00,947005,29.0,0,0,25
2025-06-06 03:15:00,947020,52.0,0,0,25
2025-06-06 03:31:00,947007,71.0,0,0,25
2025-06-06 03:47:00,947006,210.0,0,0,25
2025-06-06 04:03:00,947008,345.0,0,0,25
2025-06-06 04:19:00,947006,480.0,0,0,25
2025-06-06 04:35:00,946995,615.0,0,0,25
2025-06-06 04:51:00,947000,750.0,0,0,25
2025-06-06 05:07:00,947002,1670.0,0,0,25
2025-06-06 05:23:00,947011,2590.0,0,0,25
2025-06-06 05:39:00,947011,3510.0,0,0,25
2025-06-06 05:55:00,947005,2.1,0,35,25
2025-06-06 06:11:00,947003,6.0,0,35,25
2025-06-06 06:27:00,947000,29.0,0,35,25
2025-06-06 06:43:00,947011,52.0,0,35,25
2025-06-06 06:59:00,947006,71.0,0,35,25
2025-06-06 07:15:00,946998,210.0,0,35,25
2025-06-06 07:31:00,947007,345.0,0,35,25
2025-06-06 07:47:00,946997,480.0,0,35,25
2025-06-06 08:03:00,947004,615.0,0,35,25
2025-06-06 08:19:00,947007,750.0,0,35,25
2025-06-06 08:35:00,947004,1670.0,0,35,25
2025-06-06 08:51:00,947013,2590.0,0,35,25
2025-06-06 09:07:00,947002,3510.0,0,35,25
2025-06-06 09:23:00,947009,2.1,0,65,25
2025-06-06 09:39:00,947006,6.0,0,65,25
2025-06-06 09:55:00,946998,29.0,0,65,25
2025-06-06 10:11:00,947014,52.0,0,65,25
2025-06-06 10:27:00,947000,71.0,0,65,25
2025-06-06 10:43:00,947010,210.0,0,65,25
2025-06-06 10:59:00,947006,345.0,0,65,25
2025-06-06 11:15:00,947008,480.0,0,65,25
2025-06-06 11:31:00,947003,615.0,0,65,25
2025-06-06 11:47:00,947000,750.0,0,65,25
2025-06-06 12:03:00,947006,1670.0,0,65,25
2025-06-06 12:19:00,947003,2590.0,0,65,25
2025-06-06 12:35:00,946996,3510.0,0,65,25
2025-06-06 12:51:00,947003,2.1,0,100,25
2025-06-06 13:07:00,946996,6.0,0,100,25
2025-06-06 13:23:00,947009,29.0,0,100,25
2025-06-06 13:39:00,947004,52.0,0,100,25
2025-06-06 13:55:00,947010,71.0,0,100,25
2025-06-06 14:11:00,947006,210.0,0,100,25
2025-06-06 14:27:00,947004,345.0,0,100,25
2025-06-06 14:43:00,947011,480.0,0,100,25
2025-06-06 14:59:00,947009,615.0,0,100,25
2025-06-06 15:15:00,946997,750.0,0,100,25
2025-06-06 15:31:00,947005,1670.0,0,100,25
2025-06-06 15:47:00,947006,2590.0,0,100,25
2025-06-06 16:03:00,947012,3510.0,0,100,25
2025-06-06 16:19:00,947010,2.1,0,0,25
2025-06-06 16:35:00,947005,6.0,0,0,25
2025-06-06 16:51:00,947002,29.0,0,0,25
2025-06-06 17:07:00,946999,52.0,0,0,25
2025-06-06 17:23:00,947003,71.0,0,0,25
2025-06-06 17:39:00,947011,210.0,0,0,25
2025-06-06 17:55:00,947003,345.0,0,0,25
2025-06-06 18:11:00,947004,480.0,0,0,25
2025-06-06 18:27:00,947005,615.0,0,0,25
2025-06-06 18:43:00,946997,750.0,0,0,25
2025-06-06 18:59:00,947007,1670.0,0,0,25
2025-06-06 19:15:00,947011,2590.0,0,0,25
2025-06-06 19:31:00,947003,3510.0,0,0,25
2025-06-06 19:47:00,947003,2.1,0,35,25
2025-06-06 20:03:00,947006,6.0,0,35,25
2025-06-06 20:19:00,947008,29.0,0,35,25
2025-06-06 20:35:00,947008,52.0,0,35,25
2025-06-06 20:51:00,946996,71.0,0,35,25
2025-06-06 21:07:00,947009,210.0,0,35,25
2025-06-06 21:23:00,947002,345.0,0,35,25
2025-06-06 21:39:00,947007,480.0,0,35,25
2025-06-06 21:55:00,947001,615.0,0,35,25
2025-06-06 22:11:00,947004,750.0,0,35,25
2025-06-06 22:27:00,947003,1670.0,0,35,25
2025-06-06 22:43:00,947004,2590.0,0,35,25
2025-06-06 22:59:00,946998,3510.0,0,35,25
2025-06-06 23:15:00,947000,2.1,0,65,25
2025-06-06 23:31:00,947004,6.0,0,65,25
2025-06-06 23:47:00,947005,29.0,0,65,25
2025-06-07 00:03:00,947004,52.0,0,65,25
2025-06-07 00:19:00,947004,71.0,0,65,25
2025-06-07 00:35:00,947007,210.0,0,65,25
2025-06-07 00:51:00,947004,345.0,0,65,25
2025-06-07 01:07:00,946998,480.0,0,65,25
2025-06-07 01:23:00,947002,615.0,0,65,25
2025-06-07 01:39:00,947001,750.0,0,65,25
2025-06-07 01:55:00,947012,1670.0,0,65,25
2025-06-07 02:11:00,947001,2590.0,0,65,25
2025-06-07 02:27:00,947001,3510.0,0,65,25
2025-06-07 02:43:00,947007,2.1,0,100,25
2025-06-07 02:59:00,947015,6.0,0,100,25
2025-06-07 03:15:00,947006,29.0,0,100,25
2025-06-07 03:31:00,947012,52.0,0,100,25
2025-06-07 03:47:00,947002,71.0,0,100,25
2025-06-07 04:03:00,947005,210.0,0,100,25
2025-06-07 04:19:00,947002,345.0,0,100,25
2025-06-07 04:35:00,947000,480.0,0,100,25
2025-06-07 04:51:00,946999,615.0,0,100,25
2025-06-07 05:07:00,947004,750.0,0,100,25
2025-06-07 05:23:00,947000,1670.0,0,100,25
2025-06-07 05:39:00,947006,2590.0,0,100,25
2025-06-07 05:55:00,947005,3510.0,0,100,25
2025-06-07 06:11:00,947010,2.1,0,0,15
2025-06-07 06:27:00,947010,2.1,0,0,15
2025-06-07 06:43:00,947004,2.1,0,0,15
2025-06-07 06:59:00,946997,2.1,0,0,15
2025-06-07 07:15:00,947004,2.1,0,0,15
